City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
havoysund,80,no,07-07-2018,93,71,24.66,48.2,1.12
obera,92,ar,07-07-2018,85,-27.49,-55.12,61.45,4.18
asmar,0,af,07-07-2018,25,35.03,71.36,82.06,2.51
nenjiang,100,cn,07-07-2018,99,49.17,125.23,62.17,15.48
marystown,0,ca,07-07-2018,77,47.17,-55.16,52.18,14.03
raudeberg,0,no,07-07-2018,93,61.99,5.14,51.8,3.36
la palma,88,pa,07-07-2018,100,8.4,-78.14,75.58,0.72
luebo,0,cd,07-07-2018,74,-5.35,21.42,66.04,4.07
knysna,0,za,07-07-2018,40,-34.04,23.05,53.6,3.36
fram,90,py,07-07-2018,82,-27.1,-56.02,59,11.41
rakiv lis,48,ua,07-07-2018,74,51.62,24.92,63.16,6.64
khasan,92,ru,07-07-2018,100,42.43,130.64,59.74,9.78
viedma,80,ar,07-07-2018,96,-40.81,-62.99,43.72,4.41
edson,40,ca,07-07-2018,59,53.59,-116.44,62.6,10.29
poum,36,nc,07-07-2018,100,-20.23,164.02,73.69,8.88
qala,0,az,07-07-2018,69,40.44,50.16,78.8,18.34
zhangye,0,cn,07-07-2018,97,38.94,100.46,70.63,4.18
huarmey,0,pe,07-07-2018,90,-10.07,-78.15,53.53,3.06
charyshskoye,32,ru,07-07-2018,50,51.4,83.56,68.2,5.64
ketchikan,75,us,07-07-2018,68,55.34,-131.65,64.4,12.75
jalu,0,ly,07-07-2018,56,29.03,21.55,76.66,13.8
bolobo,0,cd,07-07-2018,71,-2.17,16.23,71.89,4.97
balayong,92,ph,07-07-2018,100,15.95,120.35,75.85,3.51
klaksvik,92,fo,07-07-2018,87,62.23,-6.59,50,13.87
puerto del rosario,0,es,07-07-2018,83,28.5,-13.86,69.8,17.22
port blair,48,in,07-07-2018,100,11.67,92.75,82.06,22.3
hlinsko,0,cz,07-07-2018,54,49.76,15.91,59,9.89
nabire,92,id,07-07-2018,87,-3.36,135.5,74.23,2.62
big rapids,1,us,07-07-2018,49,43.7,-85.48,75.2,5.64
kuusamo,90,fi,07-07-2018,71,65.96,29.19,53.6,5.82
toumodi,100,ci,07-07-2018,100,6.56,-5.02,73.4,5.19
okhotsk,56,ru,07-07-2018,81,59.36,143.24,64.42,5.19
faanui,88,pf,07-07-2018,100,-16.48,-151.75,80.26,8.43
majene,0,id,07-07-2018,98,-3.54,118.97,82.6,22.41
baturaja,20,id,07-07-2018,56,-4.12,104.17,85.75,6.2
san cristobal,68,ec,07-07-2018,100,-1.02,-79.44,61.9,0.94
nyurba,92,ru,07-07-2018,88,63.29,118.35,64.15,6.2
begoro,44,gh,07-07-2018,99,6.38,-0.38,68.47,2.73
mlonggo,0,id,07-07-2018,69,-6.53,110.7,85.66,5.86
maniitsoq,80,gl,07-07-2018,84,65.42,-52.9,39.13,4.97
pavilosta,0,lv,07-07-2018,93,56.89,21.19,55.4,2.24
balakhninskiy,92,ru,07-07-2018,92,58.01,114.28,55.6,2.95
east angus,1,ca,07-07-2018,63,45.48,-71.66,64.4,4.7
andenes,92,no,07-07-2018,87,69.31,16.12,50,8.05
casino,0,au,07-07-2018,54,-28.86,153.05,60.82,4.74
samarai,92,pg,07-07-2018,100,-10.62,150.67,76.39,16.49
dawei,100,mm,07-07-2018,100,14.07,98.19,72.43,1.72
charters towers,0,au,07-07-2018,70,-20.07,146.27,63.16,12.46
kruisfontein,0,za,07-07-2018,91,-34,24.73,53.8,4.07
beloha,32,mg,07-07-2018,86,-25.17,45.06,65.95,11.68
oksfjord,68,no,07-07-2018,93,70.24,22.35,51.8,1.12
tessalit,0,ml,07-07-2018,17,20.2,1.01,70.63,5.75
auki,76,sb,07-07-2018,100,-8.77,160.7,79.36,9.55
natal,0,br,07-07-2018,83,-5.81,-35.21,75.2,9.17
birobidzhan,8,ru,07-07-2018,53,48.79,132.93,76.75,6.08
palu,20,id,07-07-2018,81,-0.9,119.87,75.49,1.72
avdon,90,ru,07-07-2018,100,54.67,55.72,64.4,4.63
cradock,0,za,07-07-2018,67,-32.16,25.62,23.92,2.73
brae,92,gb,07-07-2018,82,60.4,-1.35,55.4,16.11
lebu,0,cl,07-07-2018,100,-37.62,-73.65,53.62,12.57
baculin,24,ph,07-07-2018,99,7.45,126.58,81.97,6.53
mayumba,92,ga,07-07-2018,97,-3.44,10.65,70.9,1.72
kudahuvadhoo,80,mv,07-07-2018,100,2.67,72.89,81.79,11.56
ust-barguzin,92,ru,07-07-2018,80,53.41,109.03,51.91,3.85
muzhi,92,ru,07-07-2018,100,65.4,64.7,61,9.78
wilmington,1,us,07-07-2018,52,39.75,-75.55,71.6,10.45
bathsheba,75,bb,07-07-2018,78,13.22,-59.52,80.6,20.8
yuzhne,0,ua,07-07-2018,77,48.22,33.85,62.6,4.47
kuryk,0,kz,07-07-2018,66,43.18,51.68,83.68,16.26
svetlogorsk,90,ru,07-07-2018,88,53.14,59.15,64.4,6.71
erdenet,80,mn,07-07-2018,93,49.03,104.04,50.02,3.51
yumen,0,cn,07-07-2018,45,40.29,97.04,78.46,4.07
gobabis,24,na,07-07-2018,90,-22.45,18.97,44.89,8.21
kampene,0,cd,07-07-2018,39,-3.59,26.67,74.23,4.41
yar-sale,92,ru,07-07-2018,70,66.83,70.83,58.3,7.2
sola,0,vu,07-07-2018,87,-13.88,167.55,81.25,12.46
vallenar,0,cl,07-07-2018,53,-28.58,-70.76,40.75,3.18
adre,76,td,07-07-2018,83,13.47,22.2,71.8,7.54
ponta do sol,76,cv,07-07-2018,100,17.2,-25.09,72.7,9.22
sete,0,fr,07-07-2018,46,43.4,3.7,73.4,5.82
kirakira,44,sb,07-07-2018,100,-10.46,161.92,81.43,17.72
riyadh,0,sa,07-07-2018,35,24.63,46.72,86,2.73
monrovia,64,lr,07-07-2018,95,6.33,-10.8,74.05,2.95
xapuri,8,br,07-07-2018,79,-10.65,-68.5,73.87,1.61
dakar,40,sn,07-07-2018,88,14.69,-17.45,78.8,6.93
klyuchi,80,ru,07-07-2018,49,52.25,79.17,69.01,11.68
schiffweiler,0,de,07-07-2018,67,49.37,7.13,60.8,8.05
atasu,0,kz,07-07-2018,54,48.68,71.64,77.29,6.2
kampong thum,92,kh,07-07-2018,100,12.71,104.89,75.94,8.66
sao joao da barra,0,br,07-07-2018,94,-21.64,-41.05,75.49,22.08
makakilo city,75,us,07-07-2018,65,21.35,-158.09,84.2,10.29
kuala terengganu,75,my,07-07-2018,88,5.33,103.14,80.6,2.24
chenghai,20,cn,07-07-2018,83,23.46,116.77,84.2,4.47
chabahar,20,ir,07-07-2018,100,25.29,60.65,85.12,6.76
cochabamba,0,bo,07-07-2018,20,-17.39,-66.16,57.2,4.7
tamiahua,12,mx,07-07-2018,95,21.28,-97.45,80.53,8.77
barcelos,0,br,07-07-2018,92,-0.97,-62.93,75.4,2.62
carlagan,92,ph,07-07-2018,100,14.97,122.05,75.13,2.17
palana,0,ru,07-07-2018,61,59.08,159.95,63.16,6.64
muros,0,es,07-07-2018,100,42.77,-9.06,62.6,3.36
magistralnyy,92,ru,07-07-2018,100,56.17,107.45,51.1,7.99
pitimbu,75,br,07-07-2018,88,-7.47,-34.81,73.4,3.36
ayabaca,0,pe,07-07-2018,74,-4.64,-79.72,51.46,1.39
colquiri,0,bo,07-07-2018,62,-17.42,-67.13,17.44,1.16
sai buri,24,th,07-07-2018,88,6.7,101.62,82.4,3.36
dinan,0,fr,07-07-2018,88,48.45,-2.05,62.6,3.36
kupang,20,id,07-07-2018,69,-10.16,123.6,80.6,13.87
srednekolymsk,0,ru,07-07-2018,43,67.46,153.71,70.63,5.53
san isidro,24,ph,07-07-2018,94,11.41,124.35,86.65,6.98
pedernales,88,ec,07-07-2018,91,0.07,-80.05,73.42,4.85
zhezkazgan,0,kz,07-07-2018,56,47.8,67.71,71.6,4.47
camocim,12,br,07-07-2018,92,-2.9,-40.84,72.43,7.2
pangnirtung,0,ca,07-07-2018,84,66.15,-65.72,31.93,4.41
oum hadjer,20,td,07-07-2018,70,13.3,19.7,76.12,7.31
gangawati,92,in,07-07-2018,92,15.43,76.53,72.43,14.58
vestmanna,92,fo,07-07-2018,87,62.16,-7.17,50,13.87
hualmay,0,pe,07-07-2018,94,-11.1,-77.61,53.08,3.74
chute-aux-outardes,90,ca,07-07-2018,62,49.12,-68.38,68,6.93
vostok,0,ru,07-07-2018,52,46.45,135.83,69.82,2.84
guarapari,0,br,07-07-2018,88,-20.67,-40.5,71.6,8.05
balabac,44,ph,07-07-2018,100,7.99,117.06,83.95,14.47
luwuk,92,id,07-07-2018,100,-0.95,122.79,76.3,6.53
vestmannaeyjar,88,is,07-07-2018,99,63.44,-20.27,47.5,11.79
ganzhou,64,cn,07-07-2018,83,25.86,114.93,83.68,4.52
garowe,24,so,07-07-2018,47,8.41,48.48,79.45,18.28
naze,75,jp,07-07-2018,79,28.37,129.48,84.2,8.05
gornopravdinsk,36,ru,07-07-2018,73,60.06,69.92,72.97,5.64
kulhudhuffushi,92,mv,07-07-2018,100,6.62,73.07,82.15,18.39
pimentel,0,pe,07-07-2018,82,-6.84,-79.94,64.4,9.17
quelimane,75,mz,07-07-2018,94,-17.88,36.89,68,8.05
qaqortoq,75,gl,07-07-2018,40,60.72,-46.03,53.6,27.51
bontang,48,id,07-07-2018,91,0.12,117.47,84.31,6.53
lagoa,0,pt,07-07-2018,60,37.14,-8.45,75.2,2.24
tamandare,0,br,07-07-2018,71,-8.28,-70.75,77.2,3.62
guerrero negro,12,mx,07-07-2018,40,27.97,-114.04,77.83,5.97
damietta,0,eg,07-07-2018,83,31.42,31.81,80.6,5.82
nikel,88,ru,07-07-2018,93,69.41,30.22,44.6,5.82
les escoumins,0,ca,07-07-2018,54,48.35,-69.4,65.23,6.42
plettenberg bay,0,za,07-07-2018,93,-34.05,23.37,63.52,4.74
kalanganan,12,ph,07-07-2018,62,8.08,124.25,83.86,3.18
miles city,1,us,07-07-2018,33,46.41,-105.84,89.6,6.93
gumdag,20,tm,07-07-2018,77,39.2,54.59,83.14,7.09
vila franca do campo,20,pt,07-07-2018,88,37.72,-25.43,69.8,3.36
aklavik,40,ca,07-07-2018,46,68.22,-135.01,71.6,3.36
ordubad,20,az,07-07-2018,60,38.91,46.02,71.6,6.93
voznesenye,76,ru,07-07-2018,97,61.02,35.48,58.48,10.33
balkhash,0,kz,07-07-2018,72,46.84,74.98,78.55,4.97
ballina,0,au,07-07-2018,100,-28.87,153.57,61.09,8.99
emerald,0,au,07-07-2018,40,-23.53,148.16,62.26,14.47
reshetikha,90,ru,07-07-2018,100,56.22,43.29,59,4.18
yerbogachen,88,ru,07-07-2018,66,61.28,108.01,56.95,9.22
fallon,1,us,07-07-2018,45,46.84,-105.12,86,3.36
wewak,36,pg,07-07-2018,72,-3.55,143.63,85.48,2.06
jackson,40,us,07-07-2018,74,35.61,-88.82,80.6,8.05
tilichiki,0,ru,07-07-2018,64,60.47,166.1,68.56,11.68
kushiro,75,jp,07-07-2018,82,43.11,144.15,57.2,4.7
erzin,0,ru,07-07-2018,42,50.26,95.16,60.37,3.29
rafai,8,cf,07-07-2018,93,4.95,23.92,67.93,1.39
selikhino,20,ru,07-07-2018,60,50.37,137.51,75.58,3.85
chunskiy,32,ru,07-07-2018,78,56.08,99.63,60.28,3.4
kysyl-syr,0,ru,07-07-2018,39,63.9,122.77,85.93,3.96
canico,40,pt,07-07-2018,68,32.63,-16.85,71.6,5.82
kitimat,75,ca,07-07-2018,68,54.02,-128.69,66.2,21.92
barra patuca,92,hn,07-07-2018,93,15.8,-84.28,81.25,13.02
urk,0,nl,07-07-2018,100,52.67,5.6,59,1.12
chincha alta,90,pe,07-07-2018,77,-13.42,-76.13,64.4,9.17
carauari,24,br,07-07-2018,87,-4.88,-66.9,76.93,2.73
leningradskiy,12,ru,07-07-2018,100,69.38,178.42,31.66,18.05
anadyr,0,ru,07-07-2018,67,64.73,177.51,60.8,4.47
mehamn,92,no,07-07-2018,98,71.03,27.85,47.05,3.29
las cruces,1,us,07-07-2018,41,32.31,-106.78,82.4,14.99
iisalmi,90,fi,07-07-2018,82,63.56,27.19,59,6.93
tabou,56,ci,07-07-2018,100,4.42,-7.36,78.55,9.22
ikalamavony,20,mg,07-07-2018,98,-21.17,46.6,48.22,4.97
